Mode,Weather,Platform,Case,Scenario,Objective,UnservedCount,ServedCustomers,TotalCustomers
Static,Cos,Multi,R202_25.txt,"06:00/08:00/14:00平均温(-8.3°C),η=0.59",2548.9136,0,25,25
Static,Cos,Multi,R202_25.txt,"06:00/08:00/14:00最高温(0.0°C),η=0.74",2030.2609,0,25,25
Static,Cos,Multi,C102_50.txt,"06:00/08:00/14:00最低温(-15.0°C),η=0.47",3029.5637,0,50,50
Static,Cos,Multi,C102_50.txt,"06:00/08:00/14:00平均温(-8.3°C),η=0.59",3009.4201,0,50,50
Static,Cos,Multi,C102_50.txt,"06:00/08:00/14:00最高温(0.0°C),η=0.74",2985.6809,0,50,50
Static,Cos,Multi,C202_50.txt,"06:00/08:00/14:00最低温(-15.0°C),η=0.47",3184.8676,0,50,50
Static,Cos,Multi,C202_50.txt,"06:00/08:00/14:00平均温(-8.3°C),η=0.59",3156.9913,0,50,50
Static,Cos,Multi,C202_50.txt,"06:00/08:00/14:00最高温(0.0°C),η=0.74",3136.5677,0,50,50
Static,Cos,Multi,R101_50.txt,"06:00/08:00/14:00最低温(-15.0°C),η=0.47",7471.7935,0,50,50
Static,Cos,Multi,R101_50.txt,"06:00/08:00/14:00平均温(-8.3°C),η=0.59",7413.8362,0,50,50
Static,Cos,Multi,R101_50.txt,"06:00/08:00/14:00最高温(0.0°C),η=0.74",7387.2495,0,50,50
Static,Cos,Multi,R201_50.txt,"06:00/08:00/14:00最低温(-15.0°C),η=0.47",5150.8498,0,50,50
Static,Cos,Multi,R201_50.txt,"06:00/08:00/14:00平均温(-8.3°C),η=0.59",4038.942,0,50,50
Static,Cos,Multi,R201_50.txt,"06:00/08:00/14:00最高温(0.0°C),η=0.74",3463.6373,0,50,50
Static,Cos,Multi,C101_100.txt,"06:00/08:00/14:00最低温(-15.0°C),η=0.47",6165.0824,0,100,100
Static,Cos,Multi,C101_100.txt,"06:00/08:00/14:00平均温(-8.3°C),η=0.59",6119.5196,0,100,100
Static,Cos,Multi,C101_100.txt,"06:00/08:00/14:00最高温(0.0°C),η=0.74",6065.8238,0,100,100
Static,Cos,Multi,C201_100.txt,"06:00/08:00/14:00最低温(-15.0°C),η=0.47",6351.8034,0,100,100
Static,Cos,Multi,C201_100.txt,"06:00/08:00/14:00平均温(-8.3°C),η=0.59",6309.3657,0,100,100
Static,Cos,Multi,C201_100.txt,"06:00/08:00/14:00最高温(0.0°C),η=0.74",6235.4216,0,100,100
