group,scenario,operator_type,operator_index,mean_calls
dynamic_full_baseline,real_single,repair,3,28.8166666666667
dynamic_full_baseline,real_single,repair,4,750.05
dynamic_full_baseline,real_single,repair,5,26.7333333333333
dynamic_full_baseline,real_single,repair,6,30.7
dynamic_full_baseline,real_single,repair,7,737.333333333333
dynamic_full_baseline,real_single,local_search,1,75.3333333333333
dynamic_full_baseline,real_multi,destroy,1,70.3166666666667
dynamic_full_baseline,real_multi,destroy,2,52.55
dynamic_full_baseline,real_multi,destroy,3,58.25
dynamic_full_baseline,real_multi,destroy,4,54.35
dynamic_full_baseline,real_multi,destroy,5,52.2666666666667
dynamic_full_baseline,real_multi,destroy,6,47.55
dynamic_full_baseline,real_multi,destroy,7,53.0166666666667
dynamic_full_baseline,real_multi,destroy,8,50.5
dynamic_full_baseline,real_multi,destroy,9,865.233333333333
dynamic_full_baseline,real_multi,repair,1,22.9333333333333
dynamic_full_baseline,real_multi,repair,2,24.0833333333333
dynamic_full_baseline,real_multi,repair,3,22.7333333333333
dynamic_full_baseline,real_multi,repair,4,592.216666666667
dynamic_full_baseline,real_multi,repair,5,24.5166666666667
dynamic_full_baseline,real_multi,repair,6,24.7833333333333
dynamic_full_baseline,real_multi,repair,7,592.766666666667
dynamic_full_baseline,real_multi,local_search,1,86.5
no_adaptive,real_single,destroy,1,45.9166666666667
no_adaptive,real_single,destroy,2,45.4833333333333
no_adaptive,real_single,destroy,3,44.4
no_adaptive,real_single,destroy,4,45.5166666666667
no_adaptive,real_single,destroy,5,44.5
no_adaptive,real_single,destroy,6,45.7166666666667
no_adaptive,real_single,destroy,7,45.5833333333333
no_adaptive,real_single,destroy,8,46.2
no_adaptive,real_single,destroy,9,44.95
no_adaptive,real_single,repair,1,58.2166666666667
no_adaptive,real_single,repair,2,57.6333333333333
no_adaptive,real_single,repair,3,57.7166666666667
no_adaptive,real_single,repair,4,58.8333333333333
no_adaptive,real_single,repair,5,59.0166666666667
no_adaptive,real_single,repair,6,58.75
no_adaptive,real_single,repair,7,58.1
no_adaptive,real_single,local_search,1,18.3
no_adaptive,real_multi,destroy,1,55.6666666666667
no_adaptive,real_multi,destroy,2,56.6666666666667
no_adaptive,real_multi,destroy,3,55.25
no_adaptive,real_multi,destroy,4,55.1833333333333
no_adaptive,real_multi,destroy,5,57.3
no_adaptive,real_multi,destroy,6,58.25
no_adaptive,real_multi,destroy,7,57.1833333333333
no_adaptive,real_multi,destroy,8,56.4
no_adaptive,real_multi,destroy,9,58.3333333333333
no_adaptive,real_multi,repair,1,72.4166666666667
no_adaptive,real_multi,repair,2,74.3
no_adaptive,real_multi,repair,3,72.8833333333333
no_adaptive,real_multi,repair,4,72.4333333333333
no_adaptive,real_multi,repair,5,72.5
no_adaptive,real_multi,repair,6,72.5
no_adaptive,real_multi,repair,7,73.2
no_adaptive,real_multi,local_search,1,23.5
