group,scenario,fitness_mean,fitness_std,fitness_best,fitness_median,time_mean,report_cost_3_mean,report_cost_3_std
static_baseline,real_single,248.631452700317,80.3525499024614,191.813619778656,248.631452700317,0.208236645833333,1882.95866363126,104.477839797671
static_baseline,real_multi,236.879936497922,63.7333963105876,191.813619778656,236.879936497922,0.142510770833333,1868.19733234567,83.6021648949057
dynamic_only,real_single,1877.52236012399,96.7897456485139,1809.0816746266,1877.52236012399,0.1685438125,1877.52236012399,96.7897456485139
dynamic_only,real_multi,1867.90728558853,83.1919768372389,1809.0816746266,1867.90728558853,0.130477291666667,1867.90728558853,83.1919768372389
dynamic_plus_repair,real_single,1867.90728558853,83.1919768372387,1809.0816746266,1867.90728558853,0.226125083333333,1867.90728558853,83.1919768372387
dynamic_plus_repair,real_multi,1877.83204974419,97.2277129095284,1809.0816746266,1877.83204974419,0.354744875,1877.83204974419,97.2277129095284
dynamic_full_baseline,real_single,1869.45962316248,85.3873136876965,1809.0816746266,1869.45962316248,0.364807479166667,1869.45962316248,85.3873136876965
dynamic_full_baseline,real_multi,1877.52236012399,96.7897456485139,1809.0816746266,1877.52236012399,0.3087156875,1877.52236012399,96.7897456485139
no_adaptive,real_single,1867.90728558853,83.1919768372389,1809.0816746266,1867.90728558853,0.172895895833333,1867.90728558853,83.1919768372389
no_adaptive,real_multi,1874.400293074,92.3744760837803,1809.0816746266,1874.400293074,0.21946325,1874.400293074,92.3744760837803
