instance,variant,rep,fitness,runtime_sec
C101_100.txt,thompson,2,6133.7807,27.7531
C101_100.txt,thompson,3,6133.7807,13.4470
C101_100.txt,thompson,4,6133.7807,24.1097
C101_100.txt,thompson,5,6133.7807,107.7367
C201_100.txt,thompson,1,6423.4084,20.0845
C201_100.txt,thompson,2,7007.9383,8.6501
C201_100.txt,thompson,3,6425.4654,29.0035
C201_100.txt,thompson,4,6429.3310,21.9786
C201_100.txt,thompson,5,6408.3203,24.7784
R102_100.txt,thompson,1,11785.3392,54.4608
R102_100.txt,thompson,2,12349.5752,22.9809
R102_100.txt,thompson,3,11733.8192,26.7337
R102_100.txt,thompson,4,11803.7587,62.3293
R102_100.txt,thompson,5,11766.4809,11.7160
R202_100.txt,thompson,1,5523.9504,51.9414
R202_100.txt,thompson,2,6200.1753,5.9955
R202_100.txt,thompson,3,5473.1322,77.5965
R202_100.txt,thompson,4,5476.7299,45.1532
R202_100.txt,thompson,5,6060.4135,32.7635
C101_25.txt,no_adaptive,1,1809.8302,0.8893
C101_25.txt,no_adaptive,2,1809.8302,0.8659
C101_25.txt,no_adaptive,3,1809.8302,0.9570
C101_25.txt,no_adaptive,4,1809.8302,0.9131
C101_25.txt,no_adaptive,5,1809.8302,0.8984
C201_25.txt,no_adaptive,1,1909.0793,0.8676
C201_25.txt,no_adaptive,2,1909.0793,0.7207
C201_25.txt,no_adaptive,3,1909.0793,1.4686
C201_25.txt,no_adaptive,4,1909.0793,0.7634
C201_25.txt,no_adaptive,5,1909.0793,1.0906
R102_25.txt,no_adaptive,1,4281.6068,1.9777
R102_25.txt,no_adaptive,2,4282.2574,0.9530
R102_25.txt,no_adaptive,3,4270.5062,1.6796
R102_25.txt,no_adaptive,4,4284.4620,3.0628
R102_25.txt,no_adaptive,5,4277.5609,2.7153
R202_25.txt,no_adaptive,1,2130.7932,2.6000
R202_25.txt,no_adaptive,2,2084.9132,3.2177
R202_25.txt,no_adaptive,3,2064.8740,4.6045
R202_25.txt,no_adaptive,4,2130.7932,3.6889
R202_25.txt,no_adaptive,5,2066.4600,2.2308
C102_50.txt,no_adaptive,1,3069.2616,2.6223
C102_50.txt,no_adaptive,2,3016.2770,3.3779
C102_50.txt,no_adaptive,3,3016.9084,3.0507
C102_50.txt,no_adaptive,4,3019.5999,2.7313
C102_50.txt,no_adaptive,5,3015.3524,3.1256
C202_50.txt,no_adaptive,1,3258.3844,4.4798
C202_50.txt,no_adaptive,2,3218.0956,5.5661
C202_50.txt,no_adaptive,3,3750.9507,4.4959
C202_50.txt,no_adaptive,4,3237.3566,6.8286
C202_50.txt,no_adaptive,5,3219.5091,5.0937
R101_50.txt,no_adaptive,1,7482.7924,2.4034
R101_50.txt,no_adaptive,2,7511.7124,7.6508
R101_50.txt,no_adaptive,3,7549.7503,6.9964
R101_50.txt,no_adaptive,4,7550.9511,4.8656
R101_50.txt,no_adaptive,5,8045.5848,2.8611
R201_50.txt,no_adaptive,1,4080.6386,4.8318
R201_50.txt,no_adaptive,2,4030.8026,4.1400
R201_50.txt,no_adaptive,3,4106.9362,3.9523
R201_50.txt,no_adaptive,4,4094.6084,5.4557
R201_50.txt,no_adaptive,5,4029.3719,6.6422
C101_100.txt,no_adaptive,1,6133.7807,15.6885
C101_100.txt,no_adaptive,2,6133.7807,19.4127
C101_100.txt,no_adaptive,3,6133.7807,8.8111
C101_100.txt,no_adaptive,4,6133.7807,10.3342
C101_100.txt,no_adaptive,5,6133.7807,18.5547
C201_100.txt,no_adaptive,1,6439.5019,31.9723
C201_100.txt,no_adaptive,2,6410.8430,10.5630
C201_100.txt,no_adaptive,3,6452.6308,15.0810
C201_100.txt,no_adaptive,4,6534.6087,23.9359
C201_100.txt,no_adaptive,5,6450.8866,12.8733
R102_100.txt,no_adaptive,1,12447.0617,22.4963
R102_100.txt,no_adaptive,2,11195.7225,24.0498
R102_100.txt,no_adaptive,3,12417.5007,16.9948
R102_100.txt,no_adaptive,4,11297.0640,21.7686
R102_100.txt,no_adaptive,5,12008.2000,19.4815
R202_100.txt,no_adaptive,1,5496.6834,56.8691
R202_100.txt,no_adaptive,2,6150.2280,13.7097
R202_100.txt,no_adaptive,3,5530.9904,29.4098
R202_100.txt,no_adaptive,4,5499.7807,23.6743
R202_100.txt,no_adaptive,5,6071.3295,19.7509
