weight_field,baseline_value,multiplier,override_value,instance,rep,fitness,runtime_sec
route_open_penalty,525,0.8500,446.25,R201_50.txt,5,4091.8144,5.3542
route_open_penalty,525,0.8500,446.25,R202_100.txt,1,6057.1000,11.2877
route_open_penalty,525,0.8500,446.25,R202_100.txt,2,6048.0411,17.7262
route_open_penalty,525,0.8500,446.25,R202_100.txt,3,6029.8211,12.7046
route_open_penalty,525,0.8500,446.25,R202_100.txt,4,6089.9869,4.5583
route_open_penalty,525,0.8500,446.25,R202_100.txt,5,6203.7881,6.0334
route_open_penalty,525,1.0000,525,C102_50.txt,1,3053.8802,11.1458
route_open_penalty,525,1.0000,525,C102_50.txt,2,3015.3524,4.8563
route_open_penalty,525,1.0000,525,C102_50.txt,3,3058.2228,16.7342
route_open_penalty,525,1.0000,525,C102_50.txt,4,3016.9084,7.9276
route_open_penalty,525,1.0000,525,C102_50.txt,5,3058.2228,15.0350
route_open_penalty,525,1.0000,525,C201_100.txt,1,6533.7972,6.4151
route_open_penalty,525,1.0000,525,C201_100.txt,2,6984.6355,18.6929
route_open_penalty,525,1.0000,525,C201_100.txt,3,6415.8251,9.7856
route_open_penalty,525,1.0000,525,C201_100.txt,4,6388.3843,5.0273
route_open_penalty,525,1.0000,525,C201_100.txt,5,6995.7096,6.0037
route_open_penalty,525,1.0000,525,R102_25.txt,1,4318.4516,2.8626
route_open_penalty,525,1.0000,525,R102_25.txt,2,4315.0746,3.8544
route_open_penalty,525,1.0000,525,R102_25.txt,3,4303.0496,2.0265
route_open_penalty,525,1.0000,525,R102_25.txt,4,4272.8284,2.1462
route_open_penalty,525,1.0000,525,R102_25.txt,5,4300.8346,1.4221
route_open_penalty,525,1.0000,525,R201_50.txt,1,4114.8365,89.7719
route_open_penalty,525,1.0000,525,R201_50.txt,2,4090.4469,6.2924
route_open_penalty,525,1.0000,525,R201_50.txt,3,4049.7081,6.2160
route_open_penalty,525,1.0000,525,R201_50.txt,4,4110.9207,7.3424
route_open_penalty,525,1.0000,525,R201_50.txt,5,4091.8144,5.6584
route_open_penalty,525,1.0000,525,R202_100.txt,1,6057.1000,9.1534
route_open_penalty,525,1.0000,525,R202_100.txt,2,6048.0411,18.0988
route_open_penalty,525,1.0000,525,R202_100.txt,3,6029.8211,13.7473
route_open_penalty,525,1.0000,525,R202_100.txt,4,6089.9869,4.9061
route_open_penalty,525,1.0000,525,R202_100.txt,5,6203.7881,6.7323
route_open_penalty,525,1.1500,603.75,C102_50.txt,1,3053.8802,7.9421
route_open_penalty,525,1.1500,603.75,C102_50.txt,2,3015.3524,4.0835
route_open_penalty,525,1.1500,603.75,C102_50.txt,3,3058.2228,15.1160
route_open_penalty,525,1.1500,603.75,C102_50.txt,4,3016.9084,6.4366
route_open_penalty,525,1.1500,603.75,C102_50.txt,5,3058.2228,13.4522
route_open_penalty,525,1.1500,603.75,C201_100.txt,1,6533.7972,5.4181
route_open_penalty,525,1.1500,603.75,C201_100.txt,2,6984.6355,16.7430
route_open_penalty,525,1.1500,603.75,C201_100.txt,3,6415.8251,8.5050
route_open_penalty,525,1.1500,603.75,C201_100.txt,4,6388.3843,3.9015
route_open_penalty,525,1.1500,603.75,C201_100.txt,5,6995.7096,5.5056
route_open_penalty,525,1.1500,603.75,R102_25.txt,1,4318.4516,2.6893
route_open_penalty,525,1.1500,603.75,R102_25.txt,2,4315.0746,3.5159
